"","Year","Area","Street","Street.2"
"252",2011,"","Birmingham Rd. Sutton",""
"253",2011,"","Birmingham Rd. Erdington",""
"254",2011,"","Birmingham Rd. Sutton Coldfield",""
"255",2011,"","Birmingham Rd. Sutton Coldfield",""
"256",2011,"","BOWLING GREEN CLOSE",""
"257",2011,"","Bracebridge Rd. Erdington",""
"258",2011,"","Brassington Ave.",""
"259",2011,"","Bromford Lan.",""
"260",2011,"","Bromford Lan. Erdington B Ham",""
"261",2011,"","Brookvale Pk. Rd.",""
"262",2011,"","Carhampton Rd. Falcon Lodge Sutton Colfield",""
"263",2011,"","Carshalton Rd.",""
"264",2011,"","Carshorlton Rd.",""
"265",2011,"","Chester Rd",""
"266",2011,"","CHESTER ROAD",""
"267",2011,"","Chester Rd. Halls Garden Centre",""
"268",2011,"","CHURCH RD AT CHESTER RD",""
"269",2011,"","College Rd. Kingstanding B Ham",""
"270",2011,"","College Rd. Kingstanding B Ham",""
"271",2011,"","Copshill Court Mount View Sutton Coldfield",""
"272",2011,"","Dovedale Rd. Erdington B Ham",""
"273",2011,"","Downside Rd. Erdington B Ham",""
"274",2011,"","Eachelhurt Rd. Erdington",""
"275",2011,"","ERDINGTON HALL ROAD",""
"276",2011,"","ERDINGTON HALL ROAD",""
"277",2011,"","Erdington High Str.",""
"278",2011,"","Fentham Rd. Erdington B Ham",""
"279",2011,"","FINCHLEY ROAD",""
"280",2011,"","Finchley Rd. Kingstanding B Ham",""
"281",2011,"","GEORGE FREDERICK ROAD",""
"282",2011,"","Golden Pond Take Away Boldmere Rd.",""
"283",2011,"","Good Hope Hosp.",""
"284",2011,"","Gracechurch Centre",""
"285",2011,"","Gracechurch Centre Outside Supercigs",""
"286",2011,"","GraceChurch Shopping Centre Sutton Coldfield",""
"287",2011,"","Grassed Area Pype Hayes Pk.",""
"288",2011,"","Gravelley Lan.",""
"289",2011,"","Gravelley Lan.",""
"290",2011,"","Gravelley Lan.",""
"291",2011,"","Gravelly Lan. Erdington Birmingham",""
"292",2011,"","Hairy Lemon Pub Sutton Coldfield",""
"293",2011,"","Hairy Lemon Pub Sutton Coldfield",""
"294",2011,"","Hermatige Rd.",""
"295",2011,"","Hermatige Rd.",""
"296",2011,"","HERMITAGE DRIVE",""
"297",2011,"","High Str.",""
"298",2011,"","High Str. Erdington",""
"299",2011,"","High Str. Erdington",""
"300",2011,"","High Str. Erdington",""
"301",2011,"","High Str. S C",""
"302",2011,"","High Str. S C",""
"303",2011,"","Hight St ErdINGTON",""
"304",2011,"","HUNTON HILL",""
"305",2011,"","KFC Retail Outlet Erdington High Str.",""
"306",2011,"","Kingsbury Rd. Erdington B Ham",""
"307",2011,"","Kingstanding Cr.",""
"308",2011,"","Ladywell Walk Birmingham",""
"309",2011,"","Landsdown Rd.",""
"310",2011,"","LICHFIELD ROAD MERE GREEN",""
"311",2011,"","LICHFIELD ROAD SUTTON COLDFIELD",""
"312",2011,"","Lindridge Rd. Sutton Coldfield",""
"313",2011,"","Little Aston Lan.",""
